,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
1483,9.27,2.53
1484,10.37,2.53
1485,11.57,2.53
1486,12.92,2.53
1487,14.32,2.53
1488,15.65,2.53
1489,16.51,2.53
1490,17.41,2.53
1491,18.35,2.53
1492,19.32,2.53
1493,20.18,2.53
1494,21.12,2.53
1495,22.01,2.53
1496,22.63,2.53
1497,23.47,2.53
1498,24.55,2.53
1513,2.0,0.03
1520,3.37,0.58
1521,3.58,0.61
1522,3.89,0.63
1523,4.3,0.65
1524,4.77,0.65
1525,5.24,0.66
1526,5.65,0.66
1527,5.98,0.67
1528,6.28,0.67
1529,6.79,0.68
1530,7.33,0.68
1531,7.93,0.69
1532,8.63,0.69
1533,9.36,0.69
1534,9.68,0.69
1535,10.1,0.7
1561,2.93,0.41
1562,3.2,0.49
1566,4.11,0.61
1567,4.31,0.65
1568,4.55,0.72
1569,4.91,0.83
1570,5.25,0.91
1571,5.59,0.97
1572,5.82,1.01
1573,6.01,1.05
1595,1.58,0.0
1602,2.73,0.0
1603,2.89,0.0
1604,3.22,0.0
1605,3.58,0.0
1606,4.01,0.0
1609,4.81,0.01
1610,5.14,0.01
1611,5.58,0.01
1612,6.04,0.01
1613,6.73,0.01
1614,7.63,0.01
1615,8.39,0.02
1616,8.59,0.02
1617,9.18,0.02
1631,0.06,0.0
1632,0.07,0.0
1633,0.07,0.0
1634,0.09,0.0
1635,0.13,0.0
1636,0.13,0.0
1637,0.16,0.0
1638,0.17,0.0
1639,0.18,0.0
1640,0.19,0.0
1641,0.2,0.0
1642,0.21,0.0
1643,0.23,0.0
1644,0.29,0.0
1645,0.32,0.01
1646,0.36,0.01
1647,0.37,0.01
1648,0.4,0.01
1649,0.43,0.03
1650,0.46,0.03
1651,0.47,0.03
1652,0.48,0.03
1653,0.5,0.04
1654,0.56,0.04
1655,0.65,0.05
1656,0.68,0.06
1657,0.72,0.06
1658,0.75,0.07
1659,0.78,0.07
1660,0.81,0.08
1661,0.83,0.08
